"state_abbv","county","state_name","country","county_state","Date","Confirmed","Deaths","Recovered"
"CO","Saguache","Colorado","US","Saguache, CO",2020-03-21,0,0,0
"CO","San Juan","Colorado","US","San Juan, CO",2020-03-21,0,0,0
"CO","San Miguel","Colorado","US","San Miguel, CO",2020-03-21,1,0,0
"CO","Sedgwick","Colorado","US","Sedgwick, CO",2020-03-21,0,0,0
"CO","Summit","Colorado","US","Summit, CO",2020-03-21,7,0,0
"CO","Teller","Colorado","US","Teller, CO",2020-03-21,0,0,0
"CO","Washington","Colorado","US","Washington, CO",2020-03-21,0,0,0
"CO","Weld","Colorado","US","Weld, CO",2020-03-21,21,0,0
"CO","Yuma","Colorado","US","Yuma, CO",2020-03-21,1,0,0
"Connecticut","Aaall","Connecticut","US","Connecticut",2020-03-21,194,3,0
"CT","Fairfield","Connecticut","US","Fairfield, CT",2020-03-21,122,0,0
"CT","Hartford","Connecticut","US","Hartford, CT",2020-03-21,29,0,0
"CT","Litchfield","Connecticut","US","Litchfield, CT",2020-03-21,8,0,0
"CT","Middlesex","Connecticut","US","Middlesex, CT",2020-03-21,5,0,0
"CT","New Haven","Connecticut","US","New Haven, CT",2020-03-21,23,0,0
"CT","New London","Connecticut","US","New London, CT",2020-03-21,1,0,0
"CT","Tolland","Connecticut","US","Tolland, CT",2020-03-21,4,0,0
"CT","Windham","Connecticut","US","Windham, CT",2020-03-21,2,0,0
"Delaware","Aaall","Delaware","US","Delaware",2020-03-21,45,0,0
"DE","Kent","Delaware","US","Kent, DE",2020-03-21,5,0,0
"DE","New Castle","Delaware","US","New Castle, DE",2020-03-21,32,0,0
"DE","Sussex","Delaware","US","Sussex, DE",2020-03-21,8,0,0
"District of Columbia","Aaall","District of Columbia","US","District of Columbia",2020-03-21,77,1,0
"DC","District of Columbia","District of Columbia","US","District of Columbia, DC",2020-03-21,77,1,0
"Florida","Aaall","Florida","US","Florida",2020-03-21,763,12,0
"FL","Alachua","Florida","US","Alachua, FL",2020-03-21,25,0,0
"FL","Baker","Florida","US","Baker, FL",2020-03-21,1,0,0
"FL","Bay","Florida","US","Bay, FL",2020-03-21,1,0,0
"FL","Bradford","Florida","US","Bradford, FL",2020-03-21,0,0,0
"FL","Brevard","Florida","US","Brevard, FL",2020-03-21,5,0,0
"FL","Broward","Florida","US","Broward, FL",2020-03-21,164,0,0
"FL","Calhoun","Florida","US","Calhoun, FL",2020-03-21,0,0,0
"FL","Charlotte","Florida","US","Charlotte, FL",2020-03-21,2,0,0
"FL","Citrus","Florida","US","Citrus, FL",2020-03-21,8,0,0
"FL","Clay","Florida","US","Clay, FL",2020-03-21,6,0,0
"FL","Collier","Florida","US","Collier, FL",2020-03-21,28,0,0
"FL","Columbia","Florida","US","Columbia, FL",2020-03-21,0,0,0
"FL","DeSoto","Florida","US","DeSoto, FL",2020-03-21,0,0,0
"FL","Dixie","Florida","US","Dixie, FL",2020-03-21,0,0,0
"FL","Duval","Florida","US","Duval, FL",2020-03-21,25,0,0
"FL","Escambia","Florida","US","Escambia, FL",2020-03-21,1,0,0
"FL","Flagler","Florida","US","Flagler, FL",2020-03-21,0,0,0
"FL","Franklin","Florida","US","Franklin, FL",2020-03-21,0,0,0
"FL","Gadsden","Florida","US","Gadsden, FL",2020-03-21,1,0,0
"FL","Gilchrist","Florida","US","Gilchrist, FL",2020-03-21,0,0,0
"FL","Glades","Florida","US","Glades, FL",2020-03-21,0,0,0
"FL","Gulf","Florida","US","Gulf, FL",2020-03-21,0,0,0
"FL","Hamilton","Florida","US","Hamilton, FL",2020-03-21,0,0,0
"FL","Hardee","Florida","US","Hardee, FL",2020-03-21,0,0,0
"FL","Hendry","Florida","US","Hendry, FL",2020-03-21,0,0,0
"FL","Hernando","Florida","US","Hernando, FL",2020-03-21,6,0,0
"FL","Highlands","Florida","US","Highlands, FL",2020-03-21,0,0,0
"FL","Hillsborough","Florida","US","Hillsborough, FL",2020-03-21,47,0,0
"FL","Holmes","Florida","US","Holmes, FL",2020-03-21,0,0,0
"FL","Indian River","Florida","US","Indian River, FL",2020-03-21,5,0,0
"FL","Jackson","Florida","US","Jackson, FL",2020-03-21,1,0,0
"FL","Jefferson","Florida","US","Jefferson, FL",2020-03-21,0,0,0
